     r (a_0)         v_en         v_ha         v_xc
 1.37298e-05 -4.37006e+05  2.58939e+01 -3.51492e+00
 1.38067e-05 -4.34573e+05  2.58939e+01 -3.52523e+00
 1.38840e-05 -4.32153e+05  2.58939e+01 -3.53546e+00
 1.39617e-05 -4.29747e+05  2.58939e+01 -3.54562e+00
 1.40399e-05 -4.27354e+05  2.58939e+01 -3.55571e+00
 1.41185e-05 -4.24974e+05  2.58939e+01 -3.56573e+00
 1.41976e-05 -4.22608e+05  2.58939e+01 -3.57567e+00
 1.42771e-05 -4.20255e+05  2.58939e+01 -3.58555e+00
 1.43570e-05 -4.17915e+05  2.58939e+01 -3.59536e+00
 1.44374e-05 -4.15588e+05  2.58939e+01 -3.60510e+00
 1.45182e-05 -4.13274e+05  2.58939e+01 -3.61477e+00
 1.45995e-05 -4.10972e+05  2.58939e+01 -3.62438e+00
 1.46813e-05 -4.08684e+05  2.58939e+01 -3.63392e+00
 1.47635e-05 -4.06409e+05  2.58939e+01 -3.64339e+00
 1.48461e-05 -4.04146e+05  2.58939e+01 -3.65280e+00
 1.49293e-05 -4.01895e+05  2.58939e+01 -3.66214e+00
 1.50129e-05 -3.99657e+05  2.58939e+01 -3.67142e+00
 1.50969e-05 -3.97432e+05  2.58939e+01 -3.68063e+00
 1.51815e-05 -3.95219e+05  2.58939e+01 -3.68978e+00
 1.52665e-05 -3.93018e+05  2.58939e+01 -3.69887e+00
 1.53519e-05 -3.90830e+05  2.58939e+01 -3.70790e+00
 1.54379e-05 -3.88654e+05  2.58939e+01 -3.71686e+00
 1.55243e-05 -3.86490e+05  2.58939e+01 -3.72577e+00
 1.56113e-05 -3.84338e+05  2.58939e+01 -3.73461e+00
 1.56987e-05 -3.82198e+05  2.58939e+01 -3.74339e+00
 1.57866e-05 -3.80069e+05  2.58939e+01 -3.75212e+00
 1.58750e-05 -3.77953e+05  2.58939e+01 -3.76078e+00
 1.59639e-05 -3.75849e+05  2.58939e+01 -3.76939e+00
 1.60533e-05 -3.73756e+05  2.58939e+01 -3.77794e+00
 1.61431e-05 -3.71675e+05  2.58939e+01 -3.78643e+00
 1.62335e-05 -3.69605e+05  2.58939e+01 -3.79486e+00
 1.63244e-05 -3.67547e+05  2.58939e+01 -3.80324e+00
 1.64158e-05 -3.65501e+05  2.58939e+01 -3.81156e+00
 1.65078e-05 -3.63465e+05  2.58939e+01 -3.81982e+00
 1.66002e-05 -3.61442e+05  2.58939e+01 -3.82803e+00
 1.66931e-05 -3.59429e+05  2.58939e+01 -3.83619e+00
 1.67866e-05 -3.57428e+05  2.58939e+01 -3.84429e+00
 1.68806e-05 -3.55437e+05  2.58939e+01 -3.85233e+00
 1.69751e-05 -3.53458e+05  2.58939e+01 -3.86033e+00
 1.70702e-05 -3.51490e+05  2.58939e+01 -3.86827e+00
 1.71658e-05 -3.49533e+05  2.58939e+01 -3.87615e+00
 1.72619e-05 -3.47587e+05  2.58939e+01 -3.88399e+00
 1.73585e-05 -3.45651e+05  2.58939e+01 -3.89177e+00
 1.74557e-05 -3.43727e+05  2.58939e+01 -3.89951e+00
 1.75535e-05 -3.41813e+05  2.58939e+01 -3.90719e+00
 1.76518e-05 -3.39910e+05  2.58939e+01 -3.91482e+00
 1.77506e-05 -3.38017e+05  2.58939e+01 -3.92240e+00
 1.78500e-05 -3.36135e+05  2.58939e+01 -3.92993e+00
 1.79499e-05 -3.34263e+05  2.58939e+01 -3.93741e+00
 1.80504e-05 -3.32402e+05  2.58939e+01 -3.94484e+00
 1.81515e-05 -3.30551e+05  2.58939e+01 -3.95223e+00
 1.82531e-05 -3.28710e+05  2.58939e+01 -3.95956e+00
 1.83554e-05 -3.26880e+05  2.58939e+01 -3.96685e+00
 1.84581e-05 -3.25060e+05  2.58939e+01 -3.97409e+00
