        eigs         occs          dos      l_degen     k_int_wt 
 9.40068e+01  1.00000e-12  1.00000e+00  1.40000e+01  1.00000e+00
 9.59671e+01  1.00000e-12  1.00000e+00  4.20000e+01  1.00000e+00
 9.91501e+01  1.00000e-12  1.00000e+00  5.40000e+01  1.00000e+00
 9.93014e+01  1.00000e-12  1.00000e+00  3.40000e+01  1.00000e+00
 1.01434e+02  1.00000e-12  1.00000e+00  2.00000e+00  1.00000e+00
 1.01704e+02  1.00000e-12  1.00000e+00  2.60000e+01  1.00000e+00
 1.03148e+02  1.00000e-12  1.00000e+00  1.80000e+01  1.00000e+00
 1.03451e+02  1.00000e-12  1.00000e+00  1.00000e+01  1.00000e+00
 1.03912e+02  1.00000e-12  1.00000e+00  4.60000e+01  1.00000e+00
 1.06868e+02  1.00000e-12  1.00000e+00  5.80000e+01  1.00000e+00
 1.07690e+02  1.00000e-12  1.00000e+00  3.80000e+01  1.00000e+00
 1.10540e+02  1.00000e-12  1.00000e+00  3.00000e+01  1.00000e+00
 1.12090e+02  1.00000e-12  1.00000e+00  5.00000e+01  1.00000e+00
 1.12462e+02  1.00000e-12  1.00000e+00  2.20000e+01  1.00000e+00
 1.12863e+02  1.00000e-12  1.00000e+00  6.00000e+00  1.00000e+00
 1.13372e+02  1.00000e-12  1.00000e+00  1.40000e+01  1.00000e+00
 1.16311e+02  1.00000e-12  1.00000e+00  4.20000e+01  1.00000e+00
 1.19601e+02  1.00000e-12  1.00000e+00  3.40000e+01  1.00000e+00
 1.20501e+02  1.00000e-12  1.00000e+00  5.40000e+01  1.00000e+00
 1.21690e+02  1.00000e-12  1.00000e+00  2.00000e+00  1.00000e+00
 1.21979e+02  1.00000e-12  1.00000e+00  2.60000e+01  1.00000e+00
 1.23409e+02  1.00000e-12  1.00000e+00  1.80000e+01  1.00000e+00
 1.23707e+02  1.00000e-12  1.00000e+00  1.00000e+01  1.00000e+00
 1.25168e+02  1.00000e-12  1.00000e+00  4.60000e+01  1.00000e+00
 1.28893e+02  1.00000e-12  1.00000e+00  3.80000e+01  1.00000e+00
 1.29146e+02  1.00000e-12  1.00000e+00  5.80000e+01  1.00000e+00
