     r (a_0)         v_en         v_ha         v_xc
 1.69065e-05 -2.36595e+05  5.52424e+00 -1.90860e+00
 1.70522e-05 -2.34575e+05  5.52424e+00 -1.91450e+00
 1.71991e-05 -2.32571e+05  5.52424e+00 -1.92034e+00
 1.73472e-05 -2.30585e+05  5.52424e+00 -1.92611e+00
 1.74967e-05 -2.28615e+05  5.52424e+00 -1.93183e+00
 1.76474e-05 -2.26662e+05  5.52424e+00 -1.93750e+00
 1.77994e-05 -2.24726e+05  5.52424e+00 -1.94310e+00
 1.79528e-05 -2.22807e+05  5.52424e+00 -1.94865e+00
 1.81074e-05 -2.20904e+05  5.52424e+00 -1.95414e+00
 1.82634e-05 -2.19017e+05  5.52424e+00 -1.95958e+00
 1.84207e-05 -2.17147e+05  5.52424e+00 -1.96496e+00
 1.85794e-05 -2.15292e+05  5.52424e+00 -1.97029e+00
 1.87395e-05 -2.13453e+05  5.52424e+00 -1.97557e+00
 1.89009e-05 -2.11630e+05  5.52424e+00 -1.98080e+00
 1.90637e-05 -2.09822e+05  5.52424e+00 -1.98597e+00
 1.92280e-05 -2.08030e+05  5.52424e+00 -1.99109e+00
 1.93936e-05 -2.06253e+05  5.52424e+00 -1.99616e+00
 1.95607e-05 -2.04492e+05  5.52424e+00 -2.00118e+00
 1.97292e-05 -2.02745e+05  5.52424e+00 -2.00615e+00
 1.98992e-05 -2.01013e+05  5.52424e+00 -2.01107e+00
 2.00706e-05 -1.99297e+05  5.52424e+00 -2.01595e+00
 2.02435e-05 -1.97594e+05  5.52424e+00 -2.02077e+00
 2.04179e-05 -1.95907e+05  5.52424e+00 -2.02555e+00
 2.05938e-05 -1.94233e+05  5.52424e+00 -2.03028e+00
 2.07712e-05 -1.92574e+05  5.52424e+00 -2.03497e+00
 2.09501e-05 -1.90930e+05  5.52424e+00 -2.03961e+00
 2.11306e-05 -1.89299e+05  5.52424e+00 -2.04420e+00
 2.13126e-05 -1.87682e+05  5.52424e+00 -2.04875e+00
 2.14963e-05 -1.86079e+05  5.52424e+00 -2.05326e+00
 2.16814e-05 -1.84490e+05  5.52424e+00 -2.05772e+00
 2.18682e-05 -1.82914e+05  5.52424e+00 -2.06214e+00
 2.20566e-05 -1.81352e+05  5.52424e+00 -2.06652e+00
 2.22466e-05 -1.79803e+05  5.52424e+00 -2.07085e+00
 2.24383e-05 -1.78267e+05  5.52424e+00 -2.07514e+00
 2.26316e-05 -1.76744e+05  5.52424e+00 -2.07939e+00
 2.28265e-05 -1.75235e+05  5.52424e+00 -2.08360e+00
 2.30232e-05 -1.73738e+05  5.52424e+00 -2.08777e+00
 2.32215e-05 -1.72254e+05  5.52424e+00 -2.09190e+00
 2.34216e-05 -1.70783e+05  5.52424e+00 -2.09599e+00
 2.36233e-05 -1.69324e+05  5.52424e+00 -2.10004e+00
 2.38268e-05 -1.67878e+05  5.52424e+00 -2.10406e+00
 2.40321e-05 -1.66444e+05  5.52424e+00 -2.10803e+00
 2.42391e-05 -1.65022e+05  5.52424e+00 -2.11197e+00
 2.44480e-05 -1.63613e+05  5.52424e+00 -2.11586e+00
 2.46586e-05 -1.62215e+05  5.52424e+00 -2.11973e+00
 2.48710e-05 -1.60830e+05  5.52424e+00 -2.12355e+00
 2.50853e-05 -1.59456e+05  5.52424e+00 -2.12734e+00
 2.53014e-05 -1.58094e+05  5.52424e+00 -2.13109e+00
 2.55193e-05 -1.56744e+05  5.52424e+00 -2.13481e+00
 2.57392e-05 -1.55405e+05  5.52424e+00 -2.13849e+00
 2.59609e-05 -1.54078e+05  5.52424e+00 -2.14214e+00
 2.61845e-05 -1.52762e+05  5.52424e+00 -2.14575e+00
 2.64101e-05 -1.51457e+05  5.52424e+00 -2.14933e+00
 2.66376e-05 -1.50163e+05  5.52424e+00 -2.15288e+00
 2.68671e-05 -1.48881e+05  5.52424e+00 -2.15639e+00
 2.70986e-05 -1.47609e+05  5.52424e+00 -2.15987e+00
 2.73320e-05 -1.46349e+05  5.52424e+00 -2.16331e+00
 2.75675e-05 -1.45099e+05  5.52424e+00 -2.16673e+00
 2.78050e-05 -1.43859e+05  5.52424e+00 -2.17011e+00
 2.80445e-05 -1.42630e+05  5.52424e+00 -2.17346e+00
 2.82861e-05 -1.41412e+05  5.52424e+00 -2.17678e+00
 2.85298e-05 -1.40204e+05  5.52424e+00 -2.18006e+00
 2.87755e-05 -1.39007e+05  5.52424e+00 -2.18332e+00
 2.90234e-05 -1.37820e+05  5.52424e+00 -2.18655e+00
 2.92735e-05 -1.36642e+05  5.52424e+00 -2.18974e+00
 2.95257e-05 -1.35475e+05  5.52424e+00 -2.19291e+00
 2.97800e-05 -1.34318e+05  5.52424e+00 -2.19605e+00
 3.00366e-05 -1.33171e+05  5.52424e+00 -2.19916e+00
 3.02953e-05 -1.32034e+05  5.52424e+00 -2.20223e+00
 3.05563e-05 -1.30906e+05  5.52424e+00 -2.20529e+00
 3.08195e-05 -1.29788e+05  5.52424e+00 -2.20831e+00
 3.10850e-05 -1.28679e+05  5.52424e+00 -2.21130e+00
 3.13528e-05 -1.27580e+05  5.52424e+00 -2.21427e+00
 3.16229e-05 -1.26490e+05  5.52424e+00 -2.21721e+00
 3.18954e-05 -1.25410e+05  5.52424e+00 -2.22012e+00
 3.21701e-05 -1.24339e+05  5.52424e+00 -2.22301e+00
 3.24473e-05 -1.23277e+05  5.52424e+00 -2.22586e+00
 3.27268e-05 -1.22224e+05  5.52424e+00 -2.22870e+00
 3.30087e-05 -1.21180e+05  5.52424e+00 -2.23150e+00
 3.32931e-05 -1.20145e+05  5.52424e+00 -2.23428e+00
 3.35799e-05 -1.19119e+05  5.52424e+00 -2.23704e+00
