        eigs         occs          dos      l_degen     k_int_wt 
 5.37652e+01  1.92896e-08  1.00000e+00  3.40000e+01  1.00000e+00
 5.39457e+01  1.83652e-08  1.00000e+00  5.40000e+01  1.00000e+00
 5.44083e+01  1.61928e-08  1.00000e+00  7.80000e+01  1.00000e+00
 5.47850e+01  1.46150e-08  1.00000e+00  6.60000e+01  1.00000e+00
 5.49019e+01  1.41576e-08  1.00000e+00  2.60000e+01  1.00000e+00
 5.51030e+01  1.34038e-08  1.00000e+00  1.00000e+01  1.00000e+00
 5.54241e+01  1.22821e-08  1.00000e+00  1.80000e+01  1.00000e+00
 5.64568e+01  9.27332e-09  1.00000e+00  4.60000e+01  1.00000e+00
 5.81916e+01  5.78388e-09  1.00000e+00  5.80000e+01  1.00000e+00
 5.84056e+01  5.45668e-09  1.00000e+00  3.80000e+01  1.00000e+00
 5.88777e+01  4.79884e-09  1.00000e+00  7.00000e+01  1.00000e+00
 5.97661e+01  3.76831e-09  1.00000e+00  6.00000e+00  1.00000e+00
 5.98114e+01  3.72214e-09  1.00000e+00  3.00000e+01  1.00000e+00
 6.06475e+01  2.96473e-09  1.00000e+00  2.20000e+01  1.00000e+00
 6.07921e+01  2.85036e-09  1.00000e+00  1.40000e+01  1.00000e+00
 6.09635e+01  2.72050e-09  1.00000e+00  5.00000e+01  1.00000e+00
 6.25613e+01  1.76126e-09  1.00000e+00  6.20000e+01  1.00000e+00
 6.30916e+01  1.52460e-09  1.00000e+00  7.40000e+01  1.00000e+00
 6.31671e+01  1.49357e-09  1.00000e+00  4.20000e+01  1.00000e+00
 6.36723e+01  1.30174e-09  1.00000e+00  2.00000e+00  1.00000e+00
 6.48323e+01  9.49379e-10  1.00000e+00  3.40000e+01  1.00000e+00
 6.55948e+01  7.71492e-10  1.00000e+00  5.40000e+01  1.00000e+00
 6.59530e+01  6.99840e-10  1.00000e+00  2.60000e+01  1.00000e+00
 6.61334e+01  6.66310e-10  1.00000e+00  1.00000e+01  1.00000e+00
 6.64628e+01  6.09186e-10  1.00000e+00  1.80000e+01  1.00000e+00
 6.70546e+01  5.18572e-10  1.00000e+00  6.60000e+01  1.00000e+00
 6.74262e+01  4.68699e-10  1.00000e+00  7.80000e+01  1.00000e+00
 6.80520e+01  3.95313e-10  1.00000e+00  4.60000e+01  1.00000e+00
 6.99708e+01  2.34524e-10  1.00000e+00  3.80000e+01  1.00000e+00
 7.03512e+01  2.11460e-10  1.00000e+00  5.80000e+01  1.00000e+00
 7.12858e+01  1.63977e-10  1.00000e+00  6.00000e+00  1.00000e+00
 7.13588e+01  1.60750e-10  1.00000e+00  3.00000e+01  1.00000e+00
 7.16715e+01  1.47637e-10  1.00000e+00  7.00000e+01  1.00000e+00
 7.21821e+01  1.28486e-10  1.00000e+00  2.20000e+01  1.00000e+00
 7.23170e+01  1.23857e-10  1.00000e+00  1.40000e+01  1.00000e+00
 7.30618e+01  1.01135e-10  1.00000e+00  5.00000e+01  1.00000e+00
 7.52308e+01  5.60500e-11  1.00000e+00  4.20000e+01  1.00000e+00
 7.52329e+01  5.60170e-11  1.00000e+00  6.20000e+01  1.00000e+00
 7.56737e+01  4.96854e-11  1.00000e+00  2.00000e+00  1.00000e+00
 7.64118e+01  4.06451e-11  1.00000e+00  7.40000e+01  1.00000e+00
 7.68758e+01  3.58239e-11  1.00000e+00  3.40000e+01  1.00000e+00
 7.79830e+01  2.65044e-11  1.00000e+00  2.60000e+01  1.00000e+00
 7.81459e+01  2.53556e-11  1.00000e+00  1.00000e+01  1.00000e+00
 7.81973e+01  2.50036e-11  1.00000e+00  5.40000e+01  1.00000e+00
 7.84823e+01  2.31376e-11  1.00000e+00  1.80000e+01  1.00000e+00
 8.02400e+01  1.43416e-11  1.00000e+00  6.60000e+01  1.00000e+00
 8.06147e+01  1.29511e-11  1.00000e+00  4.60000e+01  1.00000e+00
 8.12751e+01  1.08212e-11  1.00000e+00  7.80000e+01  1.00000e+00
 8.25103e+01  7.73197e-12  1.00000e+00  3.80000e+01  1.00000e+00
 8.34590e+01  5.97280e-12  1.00000e+00  5.80000e+01  1.00000e+00
 8.37869e+01  5.46292e-12  1.00000e+00  6.00000e+00  1.00000e+00
