     r (a_0)         v_en         v_ha         v_xc
 1.77673e-05 -3.37699e+05  9.76340e+00 -3.27190e+00
 1.78454e-05 -3.36221e+05  9.76340e+00 -3.27679e+00
 1.79239e-05 -3.34749e+05  9.76340e+00 -3.28165e+00
 1.80027e-05 -3.33283e+05  9.76340e+00 -3.28648e+00
 1.80819e-05 -3.31824e+05  9.76340e+00 -3.29129e+00
 1.81614e-05 -3.30371e+05  9.76340e+00 -3.29608e+00
 1.82413e-05 -3.28925e+05  9.76340e+00 -3.30084e+00
 1.83215e-05 -3.27484e+05  9.76340e+00 -3.30558e+00
 1.84020e-05 -3.26051e+05  9.76340e+00 -3.31029e+00
 1.84830e-05 -3.24623e+05  9.76340e+00 -3.31498e+00
 1.85642e-05 -3.23202e+05  9.76340e+00 -3.31964e+00
 1.86459e-05 -3.21787e+05  9.76340e+00 -3.32428e+00
 1.87279e-05 -3.20378e+05  9.76340e+00 -3.32890e+00
 1.88102e-05 -3.18975e+05  9.76340e+00 -3.33349e+00
 1.88929e-05 -3.17579e+05  9.76340e+00 -3.33806e+00
 1.89760e-05 -3.16188e+05  9.76340e+00 -3.34261e+00
 1.90595e-05 -3.14804e+05  9.76340e+00 -3.34713e+00
 1.91433e-05 -3.13426e+05  9.76340e+00 -3.35163e+00
 1.92275e-05 -3.12054e+05  9.76340e+00 -3.35611e+00
 1.93120e-05 -3.10687e+05  9.76340e+00 -3.36056e+00
 1.93969e-05 -3.09327e+05  9.76340e+00 -3.36500e+00
 1.94822e-05 -3.07973e+05  9.76340e+00 -3.36941e+00
 1.95679e-05 -3.06624e+05  9.76340e+00 -3.37379e+00
 1.96540e-05 -3.05282e+05  9.76340e+00 -3.37816e+00
 1.97404e-05 -3.03945e+05  9.76340e+00 -3.38250e+00
 1.98272e-05 -3.02615e+05  9.76340e+00 -3.38683e+00
 1.99144e-05 -3.01290e+05  9.76340e+00 -3.39112e+00
 2.00020e-05 -2.99971e+05  9.76340e+00 -3.39540e+00
 2.00899e-05 -2.98657e+05  9.76340e+00 -3.39966e+00
 2.01783e-05 -2.97350e+05  9.76340e+00 -3.40389e+00
 2.02670e-05 -2.96048e+05  9.76340e+00 -3.40811e+00
 2.03561e-05 -2.94752e+05  9.76340e+00 -3.41230e+00
 2.04456e-05 -2.93461e+05  9.76340e+00 -3.41647e+00
 2.05355e-05 -2.92176e+05  9.76340e+00 -3.42062e+00
 2.06258e-05 -2.90897e+05  9.76340e+00 -3.42475e+00
 2.07165e-05 -2.89624e+05  9.76340e+00 -3.42886e+00
 2.08076e-05 -2.88356e+05  9.76340e+00 -3.43295e+00
 2.08991e-05 -2.87093e+05  9.76340e+00 -3.43702e+00
 2.09910e-05 -2.85836e+05  9.76340e+00 -3.44107e+00
 2.10834e-05 -2.84585e+05  9.76340e+00 -3.44510e+00
 2.11761e-05 -2.83339e+05  9.76340e+00 -3.44910e+00
 2.12692e-05 -2.82098e+05  9.76340e+00 -3.45309e+00
 2.13627e-05 -2.80863e+05  9.76340e+00 -3.45706e+00
 2.14567e-05 -2.79633e+05  9.76340e+00 -3.46101e+00
 2.15510e-05 -2.78409e+05  9.76340e+00 -3.46494e+00
 2.16458e-05 -2.77190e+05  9.76340e+00 -3.46885e+00
 2.17410e-05 -2.75977e+05  9.76340e+00 -3.47273e+00
 2.18366e-05 -2.74768e+05  9.76340e+00 -3.47661e+00
 2.19326e-05 -2.73565e+05  9.76340e+00 -3.48046e+00
 2.20290e-05 -2.72368e+05  9.76340e+00 -3.48429e+00
 2.21259e-05 -2.71175e+05  9.76340e+00 -3.48810e+00
 2.22232e-05 -2.69988e+05  9.76340e+00 -3.49190e+00
 2.23209e-05 -2.68806e+05  9.76340e+00 -3.49567e+00
 2.24191e-05 -2.67629e+05  9.76340e+00 -3.49943e+00
 2.25177e-05 -2.66457e+05  9.76340e+00 -3.50317e+00
 2.26167e-05 -2.65291e+05  9.76340e+00 -3.50689e+00
 2.27162e-05 -2.64129e+05  9.76340e+00 -3.51059e+00
 2.28161e-05 -2.62973e+05  9.76340e+00 -3.51427e+00
 2.29164e-05 -2.61821e+05  9.76340e+00 -3.51794e+00
 2.30172e-05 -2.60675e+05  9.76340e+00 -3.52158e+00
 2.31184e-05 -2.59534e+05  9.76340e+00 -3.52521e+00
 2.32200e-05 -2.58398e+05  9.76340e+00 -3.52882e+00
 2.33221e-05 -2.57266e+05  9.76340e+00 -3.53242e+00
 2.34247e-05 -2.56140e+05  9.76340e+00 -3.53599e+00
 2.35277e-05 -2.55018e+05  9.76340e+00 -3.53955e+00
 2.36312e-05 -2.53902e+05  9.76340e+00 -3.54309e+00
 2.37351e-05 -2.52790e+05  9.76340e+00 -3.54662e+00
 2.38395e-05 -2.51684e+05  9.76340e+00 -3.55012e+00
 2.39443e-05 -2.50582e+05  9.76340e+00 -3.55361e+00
 2.40496e-05 -2.49484e+05  9.76340e+00 -3.55709e+00
 2.41553e-05 -2.48392e+05  9.76340e+00 -3.56054e+00
 2.42616e-05 -2.47305e+05  9.76340e+00 -3.56398e+00
 2.43683e-05 -2.46222e+05  9.76340e+00 -3.56740e+00
 2.44754e-05 -2.45144e+05  9.76340e+00 -3.57081e+00
 2.45830e-05 -2.44071e+05  9.76340e+00 -3.57419e+00
 2.46911e-05 -2.43002e+05  9.76340e+00 -3.57757e+00
 2.47997e-05 -2.41938e+05  9.76340e+00 -3.58092e+00
 2.49088e-05 -2.40879e+05  9.76340e+00 -3.58426e+00
 2.50183e-05 -2.39824e+05  9.76340e+00 -3.58758e+00
 2.51283e-05 -2.38774e+05  9.76340e+00 -3.59089e+00
 2.52388e-05 -2.37729e+05  9.76340e+00 -3.59418e+00
 2.53498e-05 -2.36688e+05  9.76340e+00 -3.59745e+00
 2.54613e-05 -2.35652e+05  9.76340e+00 -3.60071e+00
 2.55733e-05 -2.34620e+05  9.76340e+00 -3.60396e+00
 2.56857e-05 -2.33593e+05  9.76340e+00 -3.60718e+00
 2.57987e-05 -2.32570e+05  9.76340e+00 -3.61040e+00
 2.59121e-05 -2.31552e+05  9.76340e+00 -3.61359e+00
 2.60261e-05 -2.30538e+05  9.76340e+00 -3.61677e+00
 2.61405e-05 -2.29529e+05  9.76340e+00 -3.61994e+00
 2.62555e-05 -2.28524e+05  9.76340e+00 -3.62309e+00
 2.63709e-05 -2.27523e+05  9.76340e+00 -3.62622e+00
 2.64869e-05 -2.26527e+05  9.76340e+00 -3.62934e+00
 2.66034e-05 -2.25535e+05  9.76340e+00 -3.63245e+00
 2.67203e-05 -2.24548e+05  9.76340e+00 -3.63554e+00
 2.68378e-05 -2.23565e+05  9.76340e+00 -3.63861e+00
 2.69559e-05 -2.22586e+05  9.76340e+00 -3.64167e+00
 2.70744e-05 -2.21612e+05  9.76340e+00 -3.64471e+00
 2.71935e-05 -2.20641e+05  9.76340e+00 -3.64774e+00
 2.73130e-05 -2.19675e+05  9.76340e+00 -3.65076e+00
 2.74331e-05 -2.18713e+05  9.76340e+00 -3.65376e+00
 2.75538e-05 -2.17756e+05  9.76340e+00 -3.65675e+00
 2.76750e-05 -2.16803e+05  9.76340e+00 -3.65972e+00
 2.77967e-05 -2.15853e+05  9.76340e+00 -3.66268e+00
 2.79189e-05 -2.14908e+05  9.76340e+00 -3.66562e+00
 2.80417e-05 -2.13967e+05  9.76340e+00 -3.66855e+00
 2.81650e-05 -2.13031e+05  9.76340e+00 -3.67147e+00
 2.82888e-05 -2.12098e+05  9.76340e+00 -3.67437e+00
 2.84132e-05 -2.11169e+05  9.76340e+00 -3.67726e+00
 2.85382e-05 -2.10245e+05  9.76340e+00 -3.68013e+00
 2.86637e-05 -2.09324e+05  9.76340e+00 -3.68299e+00
 2.87897e-05 -2.08408e+05  9.76340e+00 -3.68584e+00
 2.89163e-05 -2.07495e+05  9.76340e+00 -3.68867e+00
 2.90435e-05 -2.06587e+05  9.76340e+00 -3.69149e+00
 2.91712e-05 -2.05682e+05  9.76340e+00 -3.69430e+00
 2.92995e-05 -2.04782e+05  9.76340e+00 -3.69709e+00
 2.94283e-05 -2.03885e+05  9.76340e+00 -3.69987e+00
 2.95577e-05 -2.02993e+05  9.76340e+00 -3.70264e+00
 2.96877e-05 -2.02104e+05  9.76340e+00 -3.70539e+00
 2.98182e-05 -2.01219e+05  9.76340e+00 -3.70813e+00
 2.99494e-05 -2.00338e+05  9.76340e+00 -3.71086e+00
 3.00811e-05 -1.99461e+05  9.76340e+00 -3.71357e+00
 3.02133e-05 -1.98588e+05  9.76340e+00 -3.71627e+00
 3.03462e-05 -1.97718e+05  9.76340e+00 -3.71896e+00
 3.04797e-05 -1.96853e+05  9.76340e+00 -3.72163e+00
 3.06137e-05 -1.95991e+05  9.76340e+00 -3.72430e+00
 3.07483e-05 -1.95133e+05  9.76340e+00 -3.72695e+00
 3.08835e-05 -1.94278e+05  9.76340e+00 -3.72958e+00
 3.10193e-05 -1.93428e+05  9.76340e+00 -3.73221e+00
 3.11557e-05 -1.92581e+05  9.76340e+00 -3.73482e+00
 3.12927e-05 -1.91738e+05  9.76340e+00 -3.73742e+00
 3.14304e-05 -1.90898e+05  9.76340e+00 -3.74001e+00
