     r (a_0)         v_en         v_ha         v_xc
 5.57023e-05 -7.18103e+04  4.16102e+00 -2.08811e+00
 5.61822e-05 -7.11970e+04  4.16102e+00 -2.08952e+00
 5.66662e-05 -7.05889e+04  4.16102e+00 -2.09092e+00
 5.71543e-05 -6.99860e+04  4.16102e+00 -2.09230e+00
 5.76467e-05 -6.93882e+04  4.16102e+00 -2.09367e+00
 5.81433e-05 -6.87955e+04  4.16102e+00 -2.09503e+00
 5.86442e-05 -6.82079e+04  4.16102e+00 -2.09638e+00
 5.91494e-05 -6.76254e+04  4.16102e+00 -2.09771e+00
 5.96590e-05 -6.70478e+04  4.16102e+00 -2.09903e+00
 6.01729e-05 -6.64751e+04  4.16102e+00 -2.10034e+00
 6.06913e-05 -6.59073e+04  4.16102e+00 -2.10164e+00
 6.12141e-05 -6.53444e+04  4.16102e+00 -2.10293e+00
 6.17415e-05 -6.47863e+04  4.16102e+00 -2.10421e+00
 6.22734e-05 -6.42329e+04  4.16102e+00 -2.10547e+00
 6.28098e-05 -6.36843e+04  4.16102e+00 -2.10673e+00
 6.33509e-05 -6.31404e+04  4.16102e+00 -2.10797e+00
 6.38967e-05 -6.26011e+04  4.16102e+00 -2.10920e+00
 6.44471e-05 -6.20664e+04  4.16102e+00 -2.11042e+00
 6.50023e-05 -6.15363e+04  4.16102e+00 -2.11163e+00
 6.55623e-05 -6.10107e+04  4.16102e+00 -2.11283e+00
 6.61271e-05 -6.04896e+04  4.16102e+00 -2.11402e+00
 6.66968e-05 -5.99729e+04  4.16102e+00 -2.11519e+00
 6.72714e-05 -5.94607e+04  4.16102e+00 -2.11636e+00
 6.78509e-05 -5.89528e+04  4.16102e+00 -2.11752e+00
 6.84354e-05 -5.84493e+04  4.16102e+00 -2.11866e+00
 6.90250e-05 -5.79501e+04  4.16102e+00 -2.11980e+00
 6.96196e-05 -5.74551e+04  4.16102e+00 -2.12093e+00
 7.02193e-05 -5.69644e+04  4.16102e+00 -2.12204e+00
 7.08243e-05 -5.64778e+04  4.16102e+00 -2.12315e+00
 7.14344e-05 -5.59954e+04  4.16102e+00 -2.12425e+00
 7.20498e-05 -5.55172e+04  4.16102e+00 -2.12533e+00
 7.26705e-05 -5.50430e+04  4.16102e+00 -2.12641e+00
 7.32965e-05 -5.45729e+04  4.16102e+00 -2.12748e+00
 7.39279e-05 -5.41067e+04  4.16102e+00 -2.12854e+00
 7.45648e-05 -5.36446e+04  4.16102e+00 -2.12959e+00
 7.52072e-05 -5.31864e+04  4.16102e+00 -2.13063e+00
 7.58551e-05 -5.27321e+04  4.16102e+00 -2.13166e+00
 7.65085e-05 -5.22817e+04  4.16102e+00 -2.13268e+00
 7.71676e-05 -5.18352e+04  4.16102e+00 -2.13369e+00
 7.78324e-05 -5.13925e+04  4.16102e+00 -2.13469e+00
 7.85029e-05 -5.09535e+04  4.16102e+00 -2.13569e+00
 7.91792e-05 -5.05183e+04  4.16102e+00 -2.13667e+00
 7.98613e-05 -5.00868e+04  4.16102e+00 -2.13765e+00
 8.05493e-05 -4.96590e+04  4.16102e+00 -2.13862e+00
 8.12432e-05 -4.92349e+04  4.16102e+00 -2.13958e+00
 8.19431e-05 -4.88143e+04  4.16102e+00 -2.14053e+00
 8.26490e-05 -4.83974e+04  4.16102e+00 -2.14147e+00
 8.33610e-05 -4.79840e+04  4.16102e+00 -2.14241e+00
 8.40792e-05 -4.75742e+04  4.16102e+00 -2.14333e+00
 8.48035e-05 -4.71679e+04  4.16102e+00 -2.14425e+00
 8.55341e-05 -4.67650e+04  4.16102e+00 -2.14516e+00
 8.62709e-05 -4.63656e+04  4.16102e+00 -2.14606e+00
 8.70141e-05 -4.59696e+04  4.16102e+00 -2.14696e+00
 8.77637e-05 -4.55769e+04  4.16102e+00 -2.14784e+00
