     r (a_0)         v_en         v_ha         v_xc
 1.73472e-05 -2.30585e+05  4.75491e+00 -1.82052e+00
 1.74967e-05 -2.28615e+05  4.75491e+00 -1.82593e+00
 1.76474e-05 -2.26662e+05  4.75491e+00 -1.83128e+00
 1.77994e-05 -2.24726e+05  4.75491e+00 -1.83657e+00
 1.79528e-05 -2.22807e+05  4.75491e+00 -1.84181e+00
 1.81074e-05 -2.20904e+05  4.75491e+00 -1.84700e+00
 1.82634e-05 -2.19017e+05  4.75491e+00 -1.85214e+00
 1.84207e-05 -2.17147e+05  4.75491e+00 -1.85722e+00
 1.85794e-05 -2.15292e+05  4.75491e+00 -1.86226e+00
 1.87395e-05 -2.13453e+05  4.75491e+00 -1.86724e+00
 1.89009e-05 -2.11630e+05  4.75491e+00 -1.87218e+00
 1.90637e-05 -2.09822e+05  4.75491e+00 -1.87706e+00
 1.92280e-05 -2.08030e+05  4.75491e+00 -1.88190e+00
 1.93936e-05 -2.06253e+05  4.75491e+00 -1.88669e+00
 1.95607e-05 -2.04492e+05  4.75491e+00 -1.89143e+00
 1.97292e-05 -2.02745e+05  4.75491e+00 -1.89612e+00
 1.98992e-05 -2.01013e+05  4.75491e+00 -1.90077e+00
 2.00706e-05 -1.99297e+05  4.75491e+00 -1.90538e+00
 2.02435e-05 -1.97594e+05  4.75491e+00 -1.90994e+00
 2.04179e-05 -1.95907e+05  4.75491e+00 -1.91445e+00
 2.05938e-05 -1.94233e+05  4.75491e+00 -1.91892e+00
 2.07712e-05 -1.92574e+05  4.75491e+00 -1.92334e+00
 2.09501e-05 -1.90930e+05  4.75491e+00 -1.92773e+00
 2.11306e-05 -1.89299e+05  4.75491e+00 -1.93207e+00
 2.13126e-05 -1.87682e+05  4.75491e+00 -1.93636e+00
 2.14963e-05 -1.86079e+05  4.75491e+00 -1.94062e+00
 2.16814e-05 -1.84490e+05  4.75491e+00 -1.94484e+00
 2.18682e-05 -1.82914e+05  4.75491e+00 -1.94901e+00
 2.20566e-05 -1.81352e+05  4.75491e+00 -1.95314e+00
 2.22466e-05 -1.79803e+05  4.75491e+00 -1.95724e+00
 2.24383e-05 -1.78267e+05  4.75491e+00 -1.96129e+00
 2.26316e-05 -1.76744e+05  4.75491e+00 -1.96531e+00
 2.28265e-05 -1.75235e+05  4.75491e+00 -1.96928e+00
 2.30232e-05 -1.73738e+05  4.75491e+00 -1.97322e+00
 2.32215e-05 -1.72254e+05  4.75491e+00 -1.97712e+00
 2.34216e-05 -1.70783e+05  4.75491e+00 -1.98098e+00
 2.36233e-05 -1.69324e+05  4.75491e+00 -1.98481e+00
 2.38268e-05 -1.67878e+05  4.75491e+00 -1.98860e+00
 2.40321e-05 -1.66444e+05  4.75491e+00 -1.99235e+00
 2.42391e-05 -1.65022e+05  4.75491e+00 -1.99607e+00
 2.44480e-05 -1.63613e+05  4.75491e+00 -1.99975e+00
 2.46586e-05 -1.62215e+05  4.75491e+00 -2.00340e+00
 2.48710e-05 -1.60830e+05  4.75491e+00 -2.00701e+00
 2.50853e-05 -1.59456e+05  4.75491e+00 -2.01059e+00
 2.53014e-05 -1.58094e+05  4.75491e+00 -2.01414e+00
 2.55193e-05 -1.56744e+05  4.75491e+00 -2.01765e+00
 2.57392e-05 -1.55405e+05  4.75491e+00 -2.02112e+00
 2.59609e-05 -1.54078e+05  4.75491e+00 -2.02457e+00
 2.61845e-05 -1.52762e+05  4.75491e+00 -2.02798e+00
 2.64101e-05 -1.51457e+05  4.75491e+00 -2.03136e+00
 2.66376e-05 -1.50163e+05  4.75491e+00 -2.03471e+00
 2.68671e-05 -1.48881e+05  4.75491e+00 -2.03803e+00
 2.70986e-05 -1.47609e+05  4.75491e+00 -2.04131e+00
